case_id,date_id,customer_id,agent_id,product_id,issue_id,channel,status,priority,escalated_flag,reopened_flag,is_delayed,delay_minutes,is_cancelled,resolution_minutes,has_refund
1,505,7317,86,65,8,Email,Closed,Low,0,0,0,0,0,27,0
2,544,1542,47,76,3,App,Closed,High,0,0,1,41,0,51,0
3,552,6688,80,16,2,App,Closed,Medium,0,0,0,0,0,24,1
4,76,8642,76,2,8,Chat,Closed,Low,0,0,0,0,0,119,0
5,212,13964,13,85,8,Email,Open,Low,0,0,0,0,0,20,0
6,603,9298,42,100,8,Phone,Open,Low,0,1,0,0,0,27,0
7,22,13966,59,140,3,App,Closed,High,1,0,0,0,0,43,0
8,154,12998,46,194,10,Email,Closed,Low,0,0,1,28,0,64,0
9,424,12034,2,211,4,Chat,Closed,High,0,0,0,0,0,15,0
10,648,8855,15,181,6,App,Closed,High,0,0,0,0,0,139,0
11,292,9653,111,27,10,Chat,Closed,Low,0,0,0,0,0,16,0
12,410,13183,66,151,3,Chat,Closed,High,0,0,1,22,0,52,0
13,613,13686,86,189,1,Email,Closed,Medium,0,0,1,39,0,66,1
14,593,7056,78,2,5,App,Closed,Medium,0,0,0,0,0,31,0
15,121,13458,94,99,7,Email,Closed,Medium,0,0,0,0,0,103,0
16,511,3074,22,238,5,Chat,Closed,Medium,0,0,1,38,0,21,0
17,647,8898,108,59,1,Phone,Closed,Medium,0,1,0,0,0,220,0
18,512,6829,13,25,1,Chat,Closed,Medium,0,1,0,0,0,122,0
19,385,7285,73,132,2,Email,Closed,Medium,0,0,1,23,0,123,0
20,731,8438,37,238,3,Email,Open,High,1,0,0,0,0,43,0
21,234,180,25,220,9,Chat,Closed,Low,0,0,0,0,0,40,0
22,218,1901,41,224,2,Chat,Closed,High,0,0,1,42,1,75,0
23,416,14039,84,128,5,Chat,Closed,Medium,0,1,1,96,0,90,0
24,462,11494,64,122,5,Chat,Closed,Medium,0,0,0,0,0,121,0
