customer_id,country,region,segment,signup_year,segment_multiplier
1,Switzerland,East,Returning,2024,1.1
2,Spain,Central,Standard,2024,1.0
3,Belgium,Central,Returning,2023,1.1
4,Netherlands,East,VIP,2023,1.25
5,Germany,East,Returning,2025,1.1
6,Germany,South,Returning,2024,1.1
7,Germany,South,Standard,2024,1.0
8,Italy,South,Standard,2021,1.0
9,Belgium,South,Returning,2023,1.1
10,Belgium,North,Returning,2022,1.1
11,Germany,North,Standard,2021,1.0
12,Spain,Central,Returning,2024,1.1
13,Italy,North,Standard,2022,1.0
14,Germany,North,VIP,2025,1.25
15,Germany,South,Standard,2024,1.0
16,Germany,South,Returning,2024,1.1
17,Austria,East,Returning,2022,1.1
18,Netherlands,South,Returning,2022,1.1
19,Netherlands,East,Standard,2024,1.0
20,Austria,East,Standard,2025,1.0
21,Belgium,North,Returning,2021,1.1
22,Germany,South,Returning,2023,1.1
23,Austria,North,Returning,2022,1.1
24,Switzerland,South,Standard,2025,1.0
25,Netherlands,North,Standard,2024,1.0
26,Kosovo,North,Returning,2021,1.1
27,Germany,North,Returning,2024,1.1
28,Netherlands,Central,VIP,2025,1.25
29,Netherlands,North,Standard,2024,1.0
30,Germany,West,Standard,2022,1.0
31,Belgium,West,Standard,2022,1.0
32,Germany,West,Returning,2025,1.1
33,Germany,East,Standard,2024,1.0
34,Spain,North,Standard,2023,1.0
35,Spain,West,Standard,2022,1.0
36,Kosovo,East,Returning,2025,1.1
37,Austria,West,Standard,2024,1.0
38,Germany,South,Standard,2021,1.0
39,Belgium,Central,Standard,2021,1.0
40,Netherlands,North,Returning,2025,1.1
41,Germany,Central,Standard,2024,1.0
42,Netherlands,Central,Returning,2021,1.1
43,Germany,South,Returning,2024,1.1
44,Italy,South,Returning,2023,1.1
45,Austria,South,Returning,2025,1.1
46,Belgium,East,Standard,2022,1.0
47,Austria,West,Standard,2023,1.0
48,Netherlands,North,Standard,2022,1.0
49,Netherlands,South,Returning,2022,1.1
50,Germany,North,Returning,2022,1.1
51,Spain,North,Returning,2021,1.1
52,Kosovo,North,Returning,2021,1.1
53,Spain,South,Returning,2025,1.1
54,Italy,South,VIP,2025,1.25
55,Netherlands,West,Returning,2022,1.1
56,Spain,South,Standard,2024,1.0
57,Germany,South,Standard,2024,1.0
58,Germany,North,Returning,2021,1.1
59,Germany,West,Returning,2021,1.1
60,Switzerland,Central,Returning,2024,1.1
61,Switzerland,South,Standard,2023,1.0
62,Austria,South,Standard,2024,1.0
63,Italy,Central,Standard,2024,1.0
64,Switzerland,North,Standard,2021,1.0
65,Austria,West,Returning,2024,1.1
66,Netherlands,North,Standard,2022,1.0
67,Germany,East,Standard,2023,1.0
68,Kosovo,South,Standard,2024,1.0
69,Germany,East,Standard,2024,1.0
70,Spain,South,Standard,2023,1.0
71,Kosovo,East,VIP,2021,1.25
72,Germany,Central,Returning,2024,1.1
73,Germany,South,Returning,2025,1.1
74,Kosovo,South,Returning,2025,1.1
75,Belgium,East,VIP,2023,1.25
76,Belgium,West,Standard,2022,1.0
77,Kosovo,East,Standard,2025,1.0
78,Germany,South,Standard,2023,1.0
79,Switzerland,South,Standard,2021,1.0
80,Germany,West,Standard,2023,1.0
81,Italy,North,Standard,2022,1.0
82,Belgium,West,Standard,2023,1.0
83,Switzerland,North,Returning,2023,1.1
84,Germany,South,Returning,2025,1.1
85,Austria,Central,Standard,2024,1.0
86,Switzerland,Central,Returning,2023,1.1
87,Belgium,East,Returning,2023,1.1
88,Belgium,West,Standard,2024,1.0
89,Italy,West,Returning,2025,1.1
90,Netherlands,Central,Standard,2022,1.0
91,Germany,North,Standard,2024,1.0
92,Belgium,West,Standard,2023,1.0
93,Kosovo,North,Standard,2024,1.0
94,Netherlands,North,Standard,2023,1.0
95,Kosovo,North,Standard,2021,1.0
96,Netherlands,North,Returning,2024,1.1
97,Netherlands,East,Returning,2024,1.1
98,Netherlands,East,Returning,2022,1.1
99,Germany,Central,Returning,2021,1.1
100,Germany,East,Returning,2022,1.1
101,Germany,West,Standard,2024,1.0
102,Belgium,East,Returning,2023,1.1
103,Austria,West,Returning,2025,1.1
104,Netherlands,West,Standard,2022,1.0
105,Italy,North,Standard,2023,1.0
106,Austria,Central,Returning,2024,1.1
107,Netherlands,North,Standard,2023,1.0
108,Kosovo,North,Standard,2024,1.0
109,Austria,East,Standard,2023,1.0
110,Germany,East,Returning,2022,1.1
111,Austria,West,Standard,2025,1.0
112,Germany,East,Standard,2021,1.0
113,Spain,East,Standard,2023,1.0
114,Kosovo,South,Returning,2021,1.1
115,Belgium,West,Returning,2024,1.1
116,Italy,West,Standard,2023,1.0
117,Kosovo,South,Standard,2021,1.0
118,Germany,West,Standard,2021,1.0
119,Italy,Central,Returning,2022,1.1
120,Netherlands,Central,Returning,2025,1.1
121,Kosovo,South,Returning,2025,1.1
122,Italy,East,Standard,2025,1.0
123,Austria,Central,Standard,2022,1.0
124,Germany,South,Standard,2021,1.0
125,Austria,Central,VIP,2022,1.25
126,Netherlands,North,Returning,2022,1.1
127,Kosovo,South,Returning,2024,1.1
128,Italy,West,Returning,2025,1.1
129,Germany,Central,Returning,2022,1.1
130,Netherlands,West,Standard,2023,1.0
131,Netherlands,South,Standard,2023,1.0
132,Austria,Central,Returning,2025,1.1
133,Germany,West,VIP,2024,1.25
134,Switzerland,East,Standard,2025,1.0
135,Spain,East,Returning,2024,1.1
136,Switzerland,North,Standard,2024,1.0
137,Netherlands,South,Standard,2021,1.0
138,Belgium,West,Standard,2025,1.0
139,Switzerland,North,Returning,2024,1.1
140,Spain,South,Returning,2024,1.1
141,Spain,East,Returning,2023,1.1
142,Austria,West,Standard,2021,1.0
143,Netherlands,Central,Standard,2022,1.0
144,Austria,East,Returning,2021,1.1
145,Austria,Central,Standard,2025,1.0
146,Germany,Central,Returning,2025,1.1
147,Belgium,West,Returning,2025,1.1
148,Netherlands,West,Returning,2024,1.1
149,Germany,Central,VIP,2023,1.25
