refund_id,case_id,refund_type,refund_amount_eur
1,3,Partial,9.29
2,13,Full,86.1
3,25,Partial,31.02
4,34,Partial,30.63
5,38,Full,71.67
6,41,Partial,13.54
7,42,Partial,8.53
8,77,Partial,15.04
9,79,Full,2.34
10,84,Full,38.37
11,101,Full,96.8
12,121,Partial,32.93
13,122,Full,8.0
14,124,Full,14.18
15,133,Full,49.04
16,155,Partial,4.24
17,157,Partial,5.76
18,173,Partial,18.24
19,190,Full,31.92
20,191,Full,43.67
21,206,Full,19.21
22,247,Full,16.4
23,254,Partial,65.64
24,255,Partial,12.66
25,259,Partial,2.73
26,263,Partial,31.03
27,281,Full,62.7
28,298,Partial,10.52
29,300,Full,13.67
30,315,Partial,33.56
31,318,Partial,31.62
32,327,Full,68.07
33,329,Full,26.32
34,340,Full,41.79
35,341,Full,17.36
36,349,Full,14.63
37,373,Partial,40.05
38,404,Full,19.55
39,409,Partial,11.03
40,437,Partial,44.35
41,458,Full,50.46
42,465,Full,75.13
43,507,Partial,47.32
44,515,Partial,5.83
45,517,Full,52.08
46,535,Partial,4.58
47,541,Partial,29.82
48,548,Partial,33.6
49,550,Partial,23.6
50,557,Partial,2.89
51,564,Full,43.64
52,579,Full,19.82
53,591,Partial,9.43
54,605,Full,43.97
55,616,Partial,7.89
56,620,Partial,19.24
57,631,Partial,32.21
58,639,Partial,1.48
59,674,Full,32.12
60,678,Partial,33.03
61,702,Partial,9.92
62,716,Partial,11.38
63,735,Partial,12.35
64,736,Partial,9.23
65,738,Full,36.97
66,745,Partial,21.38
67,751,Full,52.19
68,773,Partial,72.68
69,777,Full,17.72
70,781,Partial,28.06
71,789,Full,16.22
72,804,Full,21.91
73,805,Partial,12.0
74,826,Full,19.04
75,830,Partial,28.02
76,871,Partial,21.57
77,873,Partial,36.71
78,875,Partial,28.76
79,879,Partial,6.14
80,887,Partial,12.63
81,894,Partial,37.13
82,914,Full,37.06
83,917,Full,53.83
84,934,Partial,13.51
85,950,Partial,17.11
86,967,Full,41.26
87,971,Full,29.51
88,973,Full,28.78
89,1011,Partial,26.91
90,1013,Partial,27.74
91,1040,Partial,2.48
92,1048,Partial,19.02
93,1065,Partial,29.48
94,1084,Full,12.1
95,1089,Partial,6.71
96,1120,Partial,44.81
97,1123,Full,7.61
98,1125,Partial,64.79
99,1134,Full,12.7
100,1138,Partial,9.44
101,1153,Full,25.11
102,1154,Partial,30.19
103,1169,Full,17.94
104,1174,Full,12.32
105,1175,Partial,19.57
106,1183,Full,11.04
107,1186,Full,89.09
108,1195,Full,22.52
109,1197,Partial,8.84
110,1208,Partial,9.33
111,1214,Full,76.32
112,1224,Partial,9.61
113,1225,Full,5.1
114,1241,Partial,23.62
115,1245,Full,10.78
116,1260,Partial,24.73
117,1304,Partial,17.67
118,1320,Partial,22.44
119,1322,Partial,11.77
120,1335,Full,33.07
121,1339,Partial,27.52
122,1340,Full,51.82
123,1347,Full,9.03
124,1348,Full,64.73
125,1359,Full,2.48
126,1364,Full,22.53
127,1385,Full,21.76
128,1387,Partial,7.69
129,1397,Full,2.82
130,1399,Partial,13.85
131,1403,Full,7.08
132,1414,Partial,63.47
133,1445,Partial,7.4
134,1459,Partial,11.7
135,1464,Full,15.57
136,1477,Partial,23.59
137,1482,Partial,24.81
138,1486,Partial,16.45
139,1497,Partial,20.47
140,1503,Full,1.75
141,1510,Full,12.07
142,1512,Partial,8.97
143,1528,Partial,10.81
144,1532,Partial,10.63
145,1534,Full,11.92
146,1536,Partial,6.7
147,1537,Full,8.09
148,1548,Partial,10.57
149,1592,Full,13.58
150,1599,Partial,29.08
151,1620,Full,15.53
152,1625,Full,2.22
153,1637,Partial,11.1
154,1659,Partial,10.13
155,1673,Full,20.56
156,1694,Full,20.67
157,1697,Partial,7.61
158,1706,Partial,5.77
159,1716,Partial,37.36
160,1722,Full,40.21
161,1762,Partial,3.36
162,1763,Full,10.3
163,1773,Partial,1.93
164,1784,Partial,5.84
165,1797,Partial,65.99
166,1800,Partial,15.57
167,1809,Full,5.8
168,1815,Partial,10.69
169,1827,Partial,25.46
170,1831,Partial,59.8
171,1861,Partial,19.54
172,1868,Partial,33.67
173,1883,Partial,17.75
174,1887,Full,7.41
175,1891,Partial,46.31
176,1896,Partial,11.87
177,1907,Full,4.79
178,1916,Full,1.86
179,1927,Full,14.18
180,1929,Partial,29.08
181,1937,Full,48.63
182,1939,Partial,18.22
183,1957,Full,28.25
184,1958,Full,48.17
185,1971,Full,21.29
186,1973,Full,8.72
187,1996,Full,15.29
188,2043,Full,12.82
189,2077,Full,18.43
190,2078,Partial,37.71
191,2080,Partial,10.0
192,2082,Full,20.81
193,2125,Partial,18.52
194,2129,Partial,3.77
195,2147,Partial,5.63
196,2150,Partial,22.83
197,2158,Full,49.43
198,2191,Partial,10.65
199,2201,Full,6.47
200,2212,Partial,30.65
201,2232,Full,10.29
202,2253,Partial,2.89
203,2279,Partial,14.45
204,2288,Full,11.08
205,2291,Full,18.38
206,2305,Partial,42.97
207,2306,Partial,17.54
208,2310,Partial,10.09
209,2313,Partial,45.44
210,2324,Partial,37.84
211,2340,Full,27.34
212,2344,Partial,3.48
213,2382,Partial,20.4
214,2384,Partial,2.09
215,2401,Partial,13.86
216,2411,Partial,2.73
217,2421,Full,9.23
218,2422,Full,9.43
219,2431,Partial,7.17
220,2432,Partial,17.96
221,2453,Partial,11.05
222,2465,Partial,34.49
223,2478,Partial,10.33
224,2491,Partial,5.36
225,2525,Partial,13.36
226,2528,Partial,14.26
227,2536,Full,35.5
228,2564,Full,1.55
229,2570,Partial,37.34
230,2579,Full,5.36
231,2644,Full,11.81
232,2651,Partial,30.26
233,2672,Partial,29.16
234,2690,Partial,88.64
235,2694,Partial,7.66
236,2710,Full,56.21
237,2711,Partial,17.31
238,2718,Partial,21.69
239,2723,Partial,13.09
240,2732,Partial,77.0
241,2748,Full,23.38
242,2750,Full,46.96
243,2752,Full,57.65
244,2767,Full,1.56
245,2774,Partial,25.19
246,2795,Partial,9.41
247,2798,Partial,28.64
248,2807,Partial,11.08
249,2823,Full,5.28
250,2827,Full,45.47
251,2833,Partial,8.14
252,2835,Full,14.9
253,2838,Partial,47.34
254,2863,Full,34.33
255,2873,Partial,2.62
256,2882,Partial,3.73
257,2905,Full,8.23
258,2908,Full,16.75
259,2921,Full,4.39
260,2925,Partial,44.14
261,2936,Full,6.14
262,2939,Full,6.0
263,2941,Partial,12.78
264,2954,Partial,2.41
265,2958,Full,17.3
266,2973,Full,62.82
267,2982,Full,9.35
268,2988,Full,3.34
269,2994,Full,27.91
270,3005,Partial,11.28
271,3011,Partial,21.56
272,3017,Partial,14.13
273,3073,Partial,90.04
274,3087,Partial,5.72
275,3093,Partial,2.27
276,3113,Partial,28.92
277,3128,Partial,14.5
278,3140,Full,18.11
279,3144,Partial,32.58
280,3163,Partial,20.15
281,3167,Full,106.4
282,3169,Partial,6.02
283,3170,Full,36.24
284,3198,Partial,25.64
285,3199,Partial,19.44
286,3204,Full,68.02
287,3214,Full,36.89
288,3219,Full,76.34
289,3235,Full,10.11
290,3240,Partial,15.46
291,3270,Full,13.7
292,3294,Partial,6.07
293,3307,Partial,15.75
294,3308,Partial,20.33
295,3312,Full,15.88
296,3318,Partial,7.02
297,3336,Full,13.5
298,3342,Full,14.36
299,3348,Partial,10.12
300,3360,Full,50.04
301,3374,Partial,7.28
302,3385,Full,25.02
303,3407,Partial,27.81
304,3416,Full,50.18
305,3418,Full,26.93
306,3423,Partial,19.17
307,3432,Partial,7.16
308,3437,Partial,2.2
309,3439,Partial,27.86
310,3444,Partial,13.64
311,3479,Partial,17.24
312,3480,Partial,16.81
313,3509,Partial,69.31
314,3529,Full,28.09
315,3530,Full,27.3
316,3541,Partial,6.83
317,3549,Full,27.26
318,3560,Full,54.75
319,3569,Partial,16.14
320,3605,Partial,13.54
321,3628,Partial,19.52
322,3637,Partial,10.0
323,3660,Partial,39.08
324,3661,Partial,10.18
325,3663,Partial,17.06
326,3664,Full,3.58
327,3680,Full,5.09
328,3698,Partial,7.91
329,3704,Partial,14.41
330,3707,Full,4.72
331,3724,Partial,30.55
332,3734,Partial,7.38
333,3751,Partial,12.73
334,3778,Full,25.24
335,3779,Partial,8.5
336,3819,Partial,14.06
337,3836,Partial,23.2
338,3873,Partial,25.53
339,3879,Partial,102.1
340,3890,Full,3.06
341,3917,Full,29.78
342,3918,Partial,45.52
343,3922,Partial,13.37
344,3942,Full,4.84
345,3947,Full,11.79
346,3949,Partial,2.28
347,3974,Full,2.86
348,3985,Partial,5.14
349,4024,Partial,37.67
350,4031,Partial,18.42
351,4039,Full,60.33
352,4041,Full,56.67
353,4061,Partial,3.33
354,4066,Full,57.17
355,4068,Full,22.67
356,4092,Partial,20.72
357,4131,Partial,10.71
358,4138,Full,29.64
